Borough,Primary Property Type - Self Selected,Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),score,TaxBlock,TaxLotNum
1.0,3.0,1924.0,1.0,100.0,1.0,23.1,6.8,0.5,72.4,44947.2,2091462.5,662.2,309327.0,100.0,922.0,2.0
1.0,3.0,1924.0,1.0,100.0,1.0,203.9,6.0,1.8,257.0,565351.3,1856504.4,3345.9,308328.0,100.0,922.0,70.0
1.0,1.0,1940.0,1.0,100.0,1.0,105.2,5.0,0.6,144.8,22627.6,201380.9,270.5,40320.0,64.0,453.0,11.0
1.0,1.0,1940.0,2.0,100.0,1.0,87.7,4.7,0.5,125.0,36258.2,347914.2,412.5,73440.0,74.0,453.0,11.0
3.0,1.0,1975.0,1.0,100.0,1.0,140.9,9.8,1.1,217.6,63920.0,579852.9,506.1,59390.0,8.0,3770.0,22.0
4.0,1.0,1949.0,1.0,100.0,1.0,22.6,0.1,0.2,24.4,23258.9,10316.4,126.8,104463.0,100.0,15665.0,1.0
4.0,1.0,1949.0,1.0,100.0,1.0,26.1,0.1,0.3,28.1,26919.1,9868.3,136.0,104463.0,100.0,15665.0,1.0
1.0,2.0,1969.0,1.0,95.0,1.0,70.6,16.1,0.5,191.1,44947.2,17604898.7,6614.7,1096193.0,84.0,5.0,10.0
1.0,2.0,1970.0,1.0,100.0,1.0,123.4,13.1,0.5,224.5,44947.2,18229596.8,493.6,1390556.0,77.0,5.0,7501.0
1.0,2.0,1987.0,1.0,100.0,1.0,78.2,16.8,0.5,205.2,44947.2,9681158.0,3781.9,575860.0,77.0,9.0,14.0
1.0,2.0,1969.0,1.0,100.0,1.0,107.4,14.9,0.5,227.8,44947.2,12828684.5,7358.5,859807.0,62.0,9.0,29.0
1.0,2.0,1986.0,1.0,95.0,1.0,102.7,25.8,0.5,294.1,44947.2,10455792.0,3662.4,405310.0,38.0,10.0,14.0
1.0,2.0,1931.0,1.0,70.0,1.0,61.8,12.5,0.5,156.8,44947.2,4192906.2,1717.7,336025.0,86.0,10.0,16.0
1.0,2.0,1964.0,1.0,100.0,1.0,98.2,13.5,0.5,207.6,44947.2,4464153.0,2558.3,329991.0,74.0,10.0,23.0
1.0,2.0,1921.0,1.0,100.0,1.0,65.9,9.7,0.5,143.6,44947.2,8647758.8,4569.7,887690.0,92.0,13.0,27.0
1.0,2.0,1902.0,1.0,100.0,1.0,43.4,10.7,0.0,121.5,51628.1,14365179.3,5147.0,1346974.0,90.0,15.0,7501.0
1.0,2.0,1986.0,1.0,100.0,1.0,110.6,14.7,0.0,223.2,4553.5,21867447.5,13616.4,1485610.0,79.0,16.0,120.0
1.0,2.0,1986.0,1.0,90.0,1.0,120.6,17.3,0.0,252.1,2918.4,44489243.1,23331.4,2577575.0,71.0,16.0,125.0
1.0,2.0,1986.0,1.0,100.0,1.0,82.4,14.2,0.0,127.9,3025.1,33151946.4,17398.4,2341561.0,78.0,16.0,140.0
1.0,2.0,1986.0,1.0,85.0,1.0,82.7,19.2,0.5,226.1,44947.2,38781370.1,14560.1,2025102.0,68.0,16.0,150.0
1.0,1.0,2006.0,1.0,100.0,1.0,101.5,8.2,0.7,164.9,220657.5,2455805.6,1976.4,300000.0,15.0,16.0,185.0
